type,std,mean,nasc
0,0.35330003,0.21928465,0.46960117
0,0.34810327,0.21942398,0.42615884
0,0.34335092,0.21894185,0.40189850
0,0.33968573,0.21497987,0.39264645
0,0.33297892,0.21468617,0.39668190
0,0.32641781,0.21429885,0.40863410
0,0.31989514,0.21192075,0.42981117
0,0.30498611,0.21175732,0.42243581
0,0.29020582,0.21005429,0.41655551
0,0.28389226,0.20749084,0.41363213
0,0.27763204,0.20447307,0.45053845
0,0.25468252,0.19961124,0.43961866
0,0.24967558,0.19434820,0.56735167
0,0.24607976,0.19482419,0.59341013
0,0.24230536,0.19201833,0.58163892
0,0.24008089,0.18994582,0.60884782
0,0.23756655,0.19013860,0.57195676
0,0.23552006,0.18927757,0.58433739
0,0.23448352,0.19051380,0.60701310
0,0.23322408,0.18902734,0.61333692
0,0.23254874,0.18852088,0.61715787
0,0.23177639,0.18773933,0.61952364
0,0.23184069,0.18761032,0.62083952
0,0.23183787,0.18766645,0.61070835
0,0.23203693,0.18836588,0.60975167
0,0.23175903,0.18894840,0.60899279
0,0.23296991,0.18955043,0.60521454
0,0.23361349,0.18850528,0.60310658
0,0.23481591,0.18826182,0.60457710
0,0.23635675,0.18830781,0.62064853
0,0.23668400,0.18841486,0.63604963
0,0.23577492,0.18794887,0.64673352
0,0.23511873,0.18724217,0.65092820
0,0.23464460,0.18614466,0.66921454
0,0.23407970,0.18532149,0.68271921
0,0.23192727,0.18449172,0.69893995
0,0.22757251,0.18375534,0.69149835
0,0.22510877,0.18375650,0.67556619
0,0.21999657,0.18374541,0.66141478
0,0.21614970,0.18295999,0.64675671
0,0.21481779,0.18193022,0.62606468
0,0.21323381,0.18202876,0.59183539
0,0.21115026,0.18118977,0.59060721
0,0.21155049,0.18113457,0.63085147
0,0.21250061,0.18167908,0.66140840
0,0.21334631,0.18156592,0.68425915
0,0.21393843,0.18204179,0.70699617
0,0.21376201,0.18159381,0.72016969
0,0.21346729,0.18242035,0.74029675
0,0.21196861,0.18269694,0.75380704
0,0.21055393,0.18313049,0.74825243
0,0.21016492,0.18289871,0.72578220
0,0.20969726,0.18257347,0.70611246
0,0.20999754,0.18397948,0.66421110
0,0.20997223,0.18383799,0.62609316
0,0.21093809,0.18390627,0.61329623
0,0.21160013,0.18401562,0.60354537
0,0.21188118,0.18428406,0.60338058
0,0.21234270,0.18481830,0.61405706
0,0.21220340,0.18534058,0.63646780
0,0.21194255,0.18613094,0.64432977
0,0.21194268,0.18526619,0.65236481
0,0.21219635,0.18480065,0.63852445
0,0.21236163,0.18438766,0.61577338
0,0.21216066,0.18390198,0.58246647
0,0.21194442,0.18414906,0.55396974
0,0.21206172,0.18413518,0.51780006
0,0.21249264,0.18373018,0.50087590
0,0.21275418,0.18405298,0.47957783
0,0.21338709,0.18386531,0.45442148
