statvalue 1:rest, 2:Queuing, 3:walking.
SampleNum statValueX Y Z 
108 1 0.06703765 -0.015562311 9.532514
109 1 0.053869538 -0.011971008 9.561244
110 1 0.049081136 -0.02633622 9.518148
111 1 0.049081136 -0.02873042 9.544485
112 1 0.06584055 -0.020350715 9.524135
113 1 0.053869538 -0.01436521 9.512163
114 1 0.03232172 -0.027533319 9.514558
115 1 0.039504327 -0.009576807 9.5253315
116 1 0.02633622 -0.020350715 9.509769
117 1 0.046686932 -0.01436521 9.5492735
118 1 0.04189853 -0.025139118 9.497798
119 1 0.047884032 -0.01316811 9.533711
120 1 0.038307227 -0.033518825 9.518148
121 1 0.029927522 -0.019153614 9.496601
122 1 0.04070143 -0.01316811 9.509769
123 1 0.049081136 -0.010773907 9.543288
124 1 0.045489833 -0.019153614 9.53012
125 1 0.05626374 -0.01436521 9.546879
126 1 0.051475335 -0.025139118 9.522937
127 1 0.05746084 -0.022744916 9.512163
128 1 0.03232172 -0.037110128 9.5492735
129 1 0.039504327 -0.017956512 9.51336
130 1 0.039504327 -0.01316811 9.515755
131 1 0.05267244 -0.021547815 9.53012
132 1 0.04309563 -0.011971008 9.566033
133 1 0.02633622 -0.019153614 9.490616
134 1 0.046686932 0.007182605 9.533711
135 1 0.045489833 -0.025139118 9.518148
136 1 0.046686932 0.0011971008 9.502586
137 1 0.047884032 -0.008379706 9.520543
138 1 0.049081136 -0.011971008 9.533711
139 1 0.05626374 -0.015562311 9.510966
140 1 0.037110128 -0.015562311 9.51336
141 1 0.015562311 -0.01436521 9.528923
142 1 0.04070143 -0.011971008 9.510966
143 1 0.046686932 -0.023942016 9.540894
144 1 0.04189853 -0.01436521 9.54209
145 1 0.027533319 -0.037110128 9.53012
146 1 0.045489833 -0.037110128 9.543288
147 1 0.02873042 -0.023942016 9.506178
148 1 0.034715924 -0.031124622 9.506178
149 1 0.034715924 -0.015562311 9.534908
150 1 0.053869538 -0.01436521 9.52174
151 1 0.035913024 -0.015562311 9.516952
152 1 0.046686932 -0.01316811 9.540894
153 1 0.055066638 -0.022744916 9.532514
154 1 0.039504327 -0.037110128 9.502586
155 1 0.033518825 -0.025139118 9.515755
156 1 0.033518825 -0.0023942017 9.507375
157 1 0.04189853 -0.033518825 9.540894
158 1 0.045489833 -0.02873042 9.52174
159 1 0.051475335 -0.010773907 9.524135
160 1 0.037110128 -0.0035913025 9.53012
161 1 0.05267244 -0.029927522 9.527725
162 1 0.053869538 -0.015562311 9.5253315
163 1 0.05626374 -0.015562311 9.514558
